"text","web_url","datetime"
"LEAD: Pope John Paul II preached reconciliation today in Chad, which has lived with border fighting and intermittent civil war for 25 years.","http://www.nytimes.com/1990/01/31/world/pope-urges-chad-to-pursue-peace.html",1990-01-31 00:00:00
"LEAD: The mock crisis went this way: Shortly after 2 A.M. on Sunday, the Security Council's 15 members were roused from their beds here for an emergency session to review the worsening situation in Nicaragua.","http://www.nytimes.com/1990/02/22/world/role-playing-and-oratory-limits-at-this-un.html",1990-02-22 00:00:00
"LEAD: The Security Council agreed on a face-saving formula tonight that would spare the Bush Administration the political hazards of allowing Yasir Arafat, chairman of the Palestine Liberation Organization, to enter the United States, or barring him.","http://www.nytimes.com/1990/05/23/world/un-and-us-reach-accord-on-arafat.html",1990-05-23 00:00:00
"LEAD: An attempt by the United States and the Soviet Union to expand the authority of the World Court has run into difficulties, with Britain and other critics contending that the initiative might reduce the role of international law rather than enhance it.","http://www.nytimes.com/1990/06/24/world/world-court-plan-meets-difficulties.html",1990-06-24 00:00:00
"LEAD: Tracy Lynn Tang, an associate director of children's book clubs at the Book-of-the-Month Club in New York, and Stephen Timothy Limpe, an investment banker at Merrill Lynch Capital Markets in New York, plan to marry in September. Miss Tang is the daughter of Mr. and Mrs. Oscar L. Tang of New York and Vail, Colo.","http://www.nytimes.com/1990/08/12/style/tracy-tang-to-wed-stephen-limpe.html",1990-08-12 00:00:00
"LEAD: After a blunt warning by the Soviet Union that war is close in the Persian Gulf unless Iraq withdraws from Kuwait, the Security Council voted today to impose an embargo on air traffic that would further tighten its economic blockade against the Baghdad Government.","http://www.nytimes.com/1990/09/26/world/confrontation-in-the-gulf-security-council-adds-air-embargo-to-iraq-sanctions.html",1990-09-26 00:00:00
"LEAD: With hundreds of millions of dollars of American aid hanging in the balance, the Bush Administration has begun exerting sharp new pressure on President Violeta Barrios de Chamorro to abandon a judgment of as much as $17 billion that Nicaragua won against the United States at the International Court of","http://www.nytimes.com/1990/09/30/world/us-urges-nicaragua-to-forgive-legal-claim.html",1990-09-30 00:00:00
"Einstein and Freud on War> ""Is there a way to liberate man from the doom of war?"" wrote Albert Einstein to Sigmund Freud in 1932. Einstein's letter -- a working draft with many corrections -- and Freud's neatly penned, thoughtful response, covering 14 pages, are to be auctioned on Dec. 11 at Sotheby's in New York. Both men write of the human capacity to hate and destroy, expressing their convictions about the need for an international court to prevent war. Freud saw two possible ways to avoid war: through man's changing cultural disposition and the threat of terror. The letters, which were written at the request of the International Committee on Intellectual Cooperation of the League of Nations, were printed in 1933 in an edition of fewer than 200 copies, under the title ""Why War?"" Marsha Malinowski, one of Sotheby's manuscript specialists, said the letters were banned in Germany when they were printed, and never became widely known.","http://www.nytimes.com/1990/11/30/arts/auctions.html",1990-11-30 00:00:00
"To the Editor: In this century, the world drifted into the senseless slaughter of World War I. That conflict started as a quarrel among imperial families. It ended with the meaningless deaths of 10 million, most of them young men in the trenches of Western Europe, under the shameful slogan of ""the war to end all wars."" The conflict that is looming today in the Middle East is just as senseless: a struggle to protect ""our"" oil, which happens to be under another country's land. To gain support for this inane policy, President Bush has miraculously become an advocate for the United Nations. The Reagan-Bush team spent the last 10 years disparaging the United Nations at every opportunity. This includes refusing to pay our country's assessed dues and the Administration's thumbing its nose at the United Nations International Court of Justice in ruling against United States mining of harbors in Nicaragua, intimating that United States policy is no business of the United Nations. Now, however, by the offer of loans, military aid or whatever, member states of the Security Council are persuaded to sanction the Administration's militant policy. This is a shameful misuse and corruption of the United Nations. The world organization must be used to settle disputes between nations; not as a means to sanction war for national interests. What the Security Council should be doing is sending in United Nations peacekeeping forces and establishing a negotiating team to find a reasonable settlement. What the American people should be doing is mounting a national protest; otherwise, another terrible and senseless war may be days away. DOUGLAS MATTERN Director, World Citizen Diplomats Palo Alto, Calif., Jan. 3, 1991","http://www.nytimes.com/1991/01/13/opinion/l-on-the-eve-of-drifting-into-war-once-again-715791.html",1991-01-13 00:00:00
"Iraqi resistance to the allied ground offensive toughened only slightly on Monday, although units of the Republican Guards swung into action, and the American command said it was achieving ""tremendous success"" all across the front. A senior American officer said early this morning that there were some indications that an entire Iraqi Army corps might be pulling out of its positions in Kuwait City and to the south and west of the capital and heading north, taking most of its heavy weapons along. At about the same time, the Baghdad radio quoted President Saddam Hussein as ordering his troops to leave Kuwait in keeping with a new peace initiative. Reports of a Withdrawal After the broadcast, allied forces, including warplanes, continued to batter Iraqi forces, officials said. They reported that roads leading north from Kuwait City were clogged with Iraqi men and equipment, and said they were under air attack from American planes including F-15E's, A-6's and F-16's with night sensors.","http://www.nytimes.com/1991/02/26/world/war-in-the-gulf-combat-us-cites-tremendous-success-in-kuwait-action.html",1991-02-26 00:00:00
